Ip Man 3 , http://www.imdb.com/title/tt2888046/?ref_=fn_tt_tt_1, Hong Kong, $36,000,000, $2,126,511(USA)(5February2016), false
R100 , http://www.imdb.com/title/tt2914838/?ref_=fn_tt_tt_1, Japan, $5,500,000, $22,770(USA)(6February2015), false
The Transporter Refueled , http://www.imdb.com/title/tt2938956/?ref_=fn_tt_tt_1, France, $25,000,000, $16,027,866(USA)(13November2015), false
The Theory of Everything , http://www.imdb.com/title/tt2980516/?ref_=fn_tt_tt_1, UK, $15,000,000, $35,887,263(USA)(10April2015), false
The Water Diviner , http://www.imdb.com/title/tt3007512/?ref_=fn_tt_tt_1, Australia, $22,500,000, $4,190,530(USA)(26June2015), false
Criminal , http://www.imdb.com/title/tt3014866/?ref_=fn_tt_tt_1, UK, $31,500,000, $14,268,533(USA)(6May2016), false
The Jungle Book , http://www.imdb.com/title/tt3040964/?ref_=fn_tt_tt_1, UK, $175,000,000, $363,995,937(USA)(23September2016), false
Mortdecai , http://www.imdb.com/title/tt3045616/?ref_=fn_tt_tt_1, UK, $60,000,000, $7,605,668(USA)(6February2015), false
Trainwreck , http://www.imdb.com/title/tt3152624/?ref_=fn_tt_tt_1, Japan, $35,000,000, $110,008,260(USA)(9October2015), false
Room , http://www.imdb.com/title/tt3170832/?ref_=fn_tt_tt_1, Ireland, $13,000,000, $14,677,654(USA)(22April2016), false
Insidious: Chapter 3 , http://www.imdb.com/title/tt3195644/?ref_=fn_tt_tt_1, Canada, $10,000,000, $52,200,504(USA)(7August2015), false
London Has Fallen , http://www.imdb.com/title/tt3300542/?ref_=fn_tt_tt_1, UK, $60,000,000, $62,401,264(USA)(20May2016), false
Concussion , http://www.imdb.com/title/tt3322364/?ref_=fn_tt_tt_1, UK, $35,000,000, $34,531,832(USA)(11March2016), false
The Assassin , http://www.imdb.com/title/tt3508840/?ref_=fn_tt_tt_1, Taiwan, $15,000,000, $613,556(USA)(11December2015), false
Legend , http://www.imdb.com/title/tt3569230/?ref_=fn_tt_tt_1, UK, $30,000,000, $1,865,774(USA)(1January2016), false
Dragon Blade , http://www.imdb.com/title/tt3672840/?ref_=fn_tt_tt_1, China, $65,000,000, $72,413(USA)(18September2015), false
The BFG , http://www.imdb.com/title/tt3691740/?ref_=fn_tt_tt_1, UK, $140,000,000, $55,472,665(USA)(7October2016), false
The Second Mother , http://www.imdb.com/title/tt3742378/?ref_=fn_tt_tt_1, Brazil, BRL 4,000,000, $375,723(USA)(4December2015), true
We Are Your Friends , http://www.imdb.com/title/tt3787590/?ref_=fn_tt_tt_1, UK, $2,000,000, $3,590,010(USA)(18September2015), false
The Purge: Election Year , http://www.imdb.com/title/tt4094724/?ref_=fn_tt_tt_1, France, $10,000,000, $79,003,080(USA)(12August2016), false
Jason Bourne , http://www.imdb.com/title/tt4196776/?ref_=fn_tt_tt_1, UK, $120,000,000, $162,054,485(USA)(14October2016), false
