Curse of the Golden Flower , http://www.imdb.com/title/tt0473444/?ref_=fn_tt_tt_1, China, $45,000,000, $6,565,495(USA)(23March2007), false
Hail Caesar!, http://www.imdb.com/title/tt0475290/?ref_=fn_tt_tt_1, UK, $22,000,000, $29,997,095(USA)(18March2016), false
Smokin' Aces , http://www.imdb.com/title/tt0475394/?ref_=fn_tt_tt_1, UK, $17,000,000, $35,635,046(USA)(9March2007), false
One Missed Call , http://www.imdb.com/title/tt0479968/?ref_=fn_tt_tt_1, Japan, $27,000,000, $26,876,529(USA)(7March2008), false
This Is England , http://www.imdb.com/title/tt0480025/?ref_=fn_tt_tt_1, UK, £1,500,000, $327,919(USA)(16November2007), true
Timecrimes , http://www.imdb.com/title/tt0480669/?ref_=fn_tt_tt_1, Spain, $2,600,000, $38,108(USA)(23January2009), false
Miss Potter , http://www.imdb.com/title/tt0482546/?ref_=fn_tt_tt_1, UK, $30,000,000, $2,975,649(USA)(22June2007), false
Doomsday , http://www.imdb.com/title/tt0483607/?ref_=fn_tt_tt_1, UK, $30,000,000, $10,955,425(USA)(4April2008), false
The Secret of Kells , http://www.imdb.com/title/tt0485601/?ref_=fn_tt_tt_1, France, €6,500,000, $686,383(USA)(16July2010), true
Thr3e , http://www.imdb.com/title/tt0486028/?ref_=fn_tt_tt_1, Poland, $2,400,000, $978,908(USA)(12January2007), false
Stardust , http://www.imdb.com/title/tt0486655/?ref_=fn_tt_tt_1, UK, $70,000,000, $38,345,403(USA)(19October2007), false
One to Another , http://www.imdb.com/title/tt0486751/?ref_=fn_tt_tt_1, France, €1,400,000, $18,435(USA)(3August2007), true
In Her Line of Fire , http://www.imdb.com/title/tt0487156/?ref_=fn_tt_tt_1, Germany, $1,000,000, $721(USA)(28April2006), false
The Oxford Murders , http://www.imdb.com/title/tt0488604/?ref_=fn_tt_tt_1, Spain, $10,000,000, $3,607(USA)(13August2010), false
Once in a Lifetime: The Extraordinary Story of the New York Cosmos , http://www.imdb.com/title/tt0489247/?ref_=fn_tt_tt_1, UK, $1,000,000, $144,431(USA)(1September2006), false
Inkheart , http://www.imdb.com/title/tt0494238/?ref_=fn_tt_tt_1, Germany, $60,000,000, $17,281,832(USA)(3April2009), false
Vicky Cristina Barcelona , http://www.imdb.com/title/tt0497465/?ref_=fn_tt_tt_1, Spain, $15,500,000, $23,213,577(USA)(13February2009), false
Planet 51 , http://www.imdb.com/title/tt0762125/?ref_=fn_tt_tt_1, Spain, $70,000,000, $42,194,060(USA)(5March2010), false
My Blueberry Nights , http://www.imdb.com/title/tt0765120/?ref_=fn_tt_tt_1, Hong Kong, $10,000,000, $866,778(USA)(11July2008), false
Oceans , http://www.imdb.com/title/tt0765128/?ref_=fn_tt_tt_1, France, €40,000,000, $19,406,406(USA)(9July2010), true
The Baader Meinhof Complex , http://www.imdb.com/title/tt0765432/?ref_=fn_tt_tt_1, Germany, €20,000,000, $476,270(USA)(4December2009), true
In Bruges , http://www.imdb.com/title/tt0780536/?ref_=fn_tt_tt_1, UK, $15,000,000, $7,757,130(USA)(13June2008), false
Atonement , http://www.imdb.com/title/tt0783233/?ref_=fn_tt_tt_1, UK, $30,000,000, $50,921,738(USA)(4April2008), false
Gangster's Paradise: Jerusalema , http://www.imdb.com/title/tt0783532/?ref_=fn_tt_tt_1, South Africa, $2,000,000, $4,958(USA)(11June2010), false
Ong-bak 2 , http://www.imdb.com/title/tt0785035/?ref_=fn_tt_tt_1, Thailand, THB 300,000,000, $102,055(USA)(25December2009), true
Winter in Wartime , http://www.imdb.com/title/tt0795441/?ref_=fn_tt_tt_1, Netherlands, €4,000,000, $542,860(USA)(29July2011), true
Exiled , http://www.imdb.com/title/tt0796212/?ref_=fn_tt_tt_1, Hong Kong, HKD 35,000,000, $49,413(USA)(14September2007), true
Molière , http://www.imdb.com/title/tt0796335/?ref_=fn_tt_tt_1, France, €16,000,000, $634,277(USA)(22November2007), true
Be Kind Rewind , http://www.imdb.com/title/tt0799934/?ref_=fn_tt_tt_1, UK, $20,000,000, $11,169,531(USA)(25April2008), false
Transsiberian , http://www.imdb.com/title/tt0800241/?ref_=fn_tt_tt_1, Spain, $15,000,000, $2,203,641(USA)(7November2008), false
The Good Heart , http://www.imdb.com/title/tt0808285/?ref_=fn_tt_tt_1, Iceland, $3,800,000, $19,959(USA)(21May2010), false
Persepolis , http://www.imdb.com/title/tt0808417/?ref_=fn_tt_tt_1, France, $7,300,000, $4,443,403(USA)(16May2008), false
