movie_title, movie_imdb_link, country, budget, gross, foreign_currency
Exotica , http://www.imdb.com/title/tt0109759/?ref_=fn_tt_tt_1, Canada, CAD 2,000,000, $5,132,222(USA), true
Four Weddings and a Funeral , http://www.imdb.com/title/tt0109831/?ref_=fn_tt_tt_1, UK, $4,400,000, $52,700,832(USA), false
Heavenly Creatures , http://www.imdb.com/title/tt0110005/?ref_=fn_tt_tt_1, New Zealand, $5,000,000, $3,049,135(USA), false
Highlander: The Final Dimension , http://www.imdb.com/title/tt0110027/?ref_=fn_tt_tt_1, Canada, $26,000,000, $13,829,734(USA), false
The Hudsucker Proxy , http://www.imdb.com/title/tt0110074/?ref_=fn_tt_tt_1, UK, $30,000,000, $2,869,369(USA), false
Killing Zoe , http://www.imdb.com/title/tt0110265/?ref_=fn_tt_tt_1, France, $1,500,000, $418,953(USA), false
The Specialist , http://www.imdb.com/title/tt0111255/?ref_=fn_tt_tt_1, Peru, $45,000,000, $57,362,581(USA), false
Street Fighter , http://www.imdb.com/title/tt0111301/?ref_=fn_tt_tt_1, Japan, $35,000,000, $33,423,521(USA), false
Timecop , http://www.imdb.com/title/tt0111438/?ref_=fn_tt_tt_1, Canada, $27,000,000, $44,450,000(USA), false
The Legend of Drunken Master , http://www.imdb.com/title/tt0111512/?ref_=fn_tt_tt_1, Hong Kong, $10,000,000, $11,546,543(USA)(8December2000), false
The Princess and the Cobbler , http://www.imdb.com/title/tt0112389/?ref_=fn_tt_tt_1, UK, $28,000,000, $669,276(USA), false
Assassins , http://www.imdb.com/title/tt0112401/?ref_=fn_tt_tt_1, France, $50,000,000, $30,306,268(USA), false
Babe , http://www.imdb.com/title/tt0112431/?ref_=fn_tt_tt_1, Australia, $30,000,000, $66,600,000(USA), false
Dead Man Walking , http://www.imdb.com/title/tt0112818/?ref_=fn_tt_tt_1, UK, $11,000,000, $39,025,000(USA), false
GoldenEye , http://www.imdb.com/title/tt0113189/?ref_=fn_tt_tt_1, UK, $58,000,000, $106,635,996(USA), false
Rumble in the Bronx , http://www.imdb.com/title/tt0113326/?ref_=fn_tt_tt_1, Hong Kong, $7,500,000, $32,333,860(USA)(26July1996), false
Jefferson in Paris , http://www.imdb.com/title/tt0113463/?ref_=fn_tt_tt_1, France, $14,000,000, $2,474,000(USA), false
The Quick and the Dead , http://www.imdb.com/title/tt0114214/?ref_=fn_tt_tt_1, Japan, $32,000,000, $18,636,537(USA), false
Richard III , http://www.imdb.com/title/tt0114279/?ref_=fn_tt_tt_1, UK, £6,000,000, $2,600,000(USA), true
Showgirls , http://www.imdb.com/title/tt0114436/?ref_=fn_tt_tt_1, France, $45,000,000, $20,302,961(USA), false
The Adventures of Pinocchio , http://www.imdb.com/title/tt0115472/?ref_=fn_tt_tt_1, UK, $25,000,000, $15,091,542(USA)(25October1996), false
When the Cat's Away , http://www.imdb.com/title/tt0115856/?ref_=fn_tt_tt_1, France, $300,000, $1,652,472(USA)(12September1997), false
Hamlet , http://www.imdb.com/title/tt0116477/?ref_=fn_tt_tt_1, UK, $18,000,000, $4,414,535(USA)(11April1997), false
Kansas City , http://www.imdb.com/title/tt0116745/?ref_=fn_tt_tt_1, France, $19,000,000, $1,292,527(USA)(13September1996), false
Michael Collins , http://www.imdb.com/title/tt0117039/?ref_=fn_tt_tt_1, UK, $28,000,000, $11,030,963(USA)(28February1997), false
The Phantom , http://www.imdb.com/title/tt0117331/?ref_=fn_tt_tt_1, Australia, $45,000,000, $17,300,889(USA)(30August1996), false
Shine , http://www.imdb.com/title/tt0117631/?ref_=fn_tt_tt_1, Australia, $5,500,000, $35,811,509(USA)(30May1997), false
Trainspotting , http://www.imdb.com/title/tt0117951/?ref_=fn_tt_tt_1, UK, $3,500,000, $16,501,785(USA)(13December1996), false
Walking and Talking , http://www.imdb.com/title/tt0118113/?ref_=fn_tt_tt_1, UK, $1,000,000, $1,277,257(USA)(27September1996), false
The Borrowers , http://www.imdb.com/title/tt0118755/?ref_=fn_tt_tt_1, UK, $29,000,000, $22,359,293(USA)(8May1998), false
Children of Heaven , http://www.imdb.com/title/tt0118849/?ref_=fn_tt_tt_1, Iran, $180,000, $925,402(USA)(21May1999), false
Clay Pigeons , http://www.imdb.com/title/tt0118863/?ref_=fn_tt_tt_1, Germany, $8,000,000, $1,789,892(USA)(13November1998), false
Critical Care , http://www.imdb.com/title/tt0118901/?ref_=fn_tt_tt_1, Australia, $12,000,000, $141,853(USA)(14November1997), false
Dark City , http://www.imdb.com/title/tt0118929/?ref_=fn_tt_tt_1, Australia, $27,000,000, $14,337,579(USA)(17April1998), false
Event Horizon , http://www.imdb.com/title/tt0119081/?ref_=fn_tt_tt_1, UK, $60,000,000, $26,616,590(USA)(24October1997), false
The Fifth Element , http://www.imdb.com/title/tt0119116/?ref_=fn_tt_tt_1, France, $93,000,000, $63,540,020(USA)(3October1997), false
