8 Women , http://www.imdb.com/title/tt0283832/?ref_=fn_tt_tt_1, France, €8,000,000, $3,076,425(USA)(13December2002), true
L'auberge espagnole , http://www.imdb.com/title/tt0283900/?ref_=fn_tt_tt_1, France, €5,300,000, $3,895,664(USA)(19September2003), true
I Served the King of England , http://www.imdb.com/title/tt0284363/?ref_=fn_tt_tt_1, Czech Republic, CZK 84,450,000, $617,228(USA)(19December2008), true
Owning Mahowny , http://www.imdb.com/title/tt0285861/?ref_=fn_tt_tt_1, Canada, $10,000,000, $1,011,054(USA)(17October2003), false
Shaolin Soccer , http://www.imdb.com/title/tt0286112/?ref_=fn_tt_tt_1, Hong Kong, $10,000,000, $488,872(USA)(20August2004), false
The Triplets of Belleville , http://www.imdb.com/title/tt0286244/?ref_=fn_tt_tt_1, France, $9,500,000, $7,002,255(USA)(2July2004), false
All or Nothing , http://www.imdb.com/title/tt0286261/?ref_=fn_tt_tt_1, UK, $9,000,000, $112,935(USA)(8November2002), false
Bend It Like Beckham , http://www.imdb.com/title/tt0286499/?ref_=fn_tt_tt_1, UK, £3,500,159, $32,541,719(USA)(17October2003), true
The Medallion , http://www.imdb.com/title/tt0288045/?ref_=fn_tt_tt_1, Hong Kong, $41,000,000, $22,108,977(USA)(17October2003), false
28 Days Later... , http://www.imdb.com/title/tt0289043/?ref_=fn_tt_tt_1, UK, $8,000,000, $45,063,889(USA)(24October2003), false
Red Dragon , http://www.imdb.com/title/tt0289765/?ref_=fn_tt_tt_1, Germany, $78,000,000, $92,930,005(USA)(27November2002), false
X-Men 2 , http://www.imdb.com/title/tt0290334/?ref_=fn_tt_tt_1, Canada, $110,000,000, $214,948,780(USA)(19September2003), false
The Legend of Suriyothai , http://www.imdb.com/title/tt0290879/?ref_=fn_tt_tt_1, Thailand, THB 400,000,000, $454,255(USA)(14November2003), true
Mean Machine , http://www.imdb.com/title/tt0291341/?ref_=fn_tt_tt_1, UK, £2,500,000, $92,191(USA)(3May2002), true
Swept Away , http://www.imdb.com/title/tt0291502/?ref_=fn_tt_tt_1, UK, $10,000,000, $598,645(USA)(25October2002), false
The Phantom of the Opera , http://www.imdb.com/title/tt0293508/?ref_=fn_tt_tt_1, UK, $70,000,000, $51,225,796(USA)(6May2005), false
The Transporter , http://www.imdb.com/title/tt0293662/?ref_=fn_tt_tt_1, France, $21,000,000, $25,296,447(USA)(17January2003), false
Feardotcom , http://www.imdb.com/title/tt0295254/?ref_=fn_tt_tt_1, UK, $42,000,000, $13,208,023(USA)(25October2002), false
Harry Potter and the Chamber of Secrets , http://www.imdb.com/title/tt0295297/?ref_=fn_tt_tt_1, UK, $100,000,000, $261,970,615(USA)(11April2003), false
Half Past Dead , http://www.imdb.com/title/tt0297162/?ref_=fn_tt_tt_1, Germany, $13,000,000, $15,361,537(USA)(13December2002), false
Whale Rider , http://www.imdb.com/title/tt0298228/?ref_=fn_tt_tt_1, New Zealand, NZD 6,000,000, $20,772,796(USA)(21November2003), true
Hero , http://www.imdb.com/title/tt0299977/?ref_=fn_tt_tt_1, China, $31,000,000, $84,961(USA)(18September2015), false
The Holy Girl , http://www.imdb.com/title/tt0300270/?ref_=fn_tt_tt_1, Argentina, $1,400,000, $304,124(USA)(1July2005), false
Dirty Pretty Things , http://www.imdb.com/title/tt0301199/?ref_=fn_tt_tt_1, UK, $10,000,000, $8,111,360(USA)(13February2004), false
Good Bye Lenin! , http://www.imdb.com/title/tt0301357/?ref_=fn_tt_tt_1, Germany, €4,800,000, $4,063,859(USA)(30July2004), true
The Heart of Me , http://www.imdb.com/title/tt0301390/?ref_=fn_tt_tt_1, UK, $7,000,000, $196,067(USA)(3October2003), false
